id,predmet,cyklus,typ,komponent,tematický celok,typ štandardu,definicia,zmena
sk1-hc-001,Slovenský jazyk a literatúra,1,Hlavný cieľ,,,,Hlavným cieľom 1. cyklu je vytvárať základy čitateľskej a pisateľskej gramotnosti v nadväznosti na predchádzajúce skúsenosti žiaka. Zámerom je pomocou všetkých dostupných prostriedkov utvárať čitateľské a pisateľské návyky žiaka a formovať ho ako čitateľa a pisateľa.,
sk1-c-001,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Viesť jednoduchý dialóg primerane situácii a komunikačnému partnerovi.,
sk1-c-002,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Vyjadriť myšlienky v súvislom hovorenom prejave.,
sk1-c-003,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Písať čitateľným rukopisom a uplatniť pri písaní základné pravopisné pravidlá.,
sk1-c-004,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Vytvoriť primeraný písaný a obrazovo-písaný text. 📖🖼️,
sk1-c-005,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Počúvať a čítať primerané vecné texty. 📖,
sk1-c-006,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Orientovať sa v nesúvislých a obrazovo-písaných textoch. 📖,
sk1-c-007,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,"Počúvať a čítať primerané literárne texty, interpretovať ich obsah a obraznosť v kontexte vlastných skúseností. 📖",
sk1-c-008,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Identifikovať v texte explicitné informácie a vyvodiť z textu základné implicitné informácie. 📖,
sk1-c-009,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Klásť otázky zamerané na obsah textu a na vlastné porozumenie textu. 📖 🏛️🙋‍♀️,
sk1-c-010,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Vyjadriť verbálne a neverbálne predstavu o sebe a svoje prežívanie okolitého sveta. 🌍 🧑‍🤝‍🧑❤️,
sk1-c-011,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Použiť pri porozumení a tvorení textu primerané jazykové znalosti. 📖,
sk1-v-001,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,Nadviazať kontakt s komunikačným partnerom. 🧑‍🤝‍🧑❤️,
sk1-v-002,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,Poďakovať a ospravedlniť sa primerane adresátovi a prostrediu. 🧑‍🤝‍🧑❤️,
sk1-v-003,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,"Sformulovať otázku, prosbu, prianie, nesúhlas, námietku a jednoduché zdôvodnenie. 🧑‍🤝‍🧑❤️",
sk1-v-004,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,Požiadať o informáciu a na požiadanie informáciu poskytnúť. 🧑‍🤝‍🧑❤️,
sk1-v-005,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,Viesť jednoduchý dialóg a klásť vecné otázky.,
sk1-v-006,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,Pozorne počúvať partnera v dialógu a reagovať na jeho repliky. 🧑‍🤝‍🧑❤️,
sk1-v-007,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,"Vyjadriť myšlienky, potreby a pocity jazykovo a sociálne primeraným spôsobom. 📱 🌍",
sk1-o-001,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné zvyklosti,,"Rozlišovanie pozdravov, predstavenia sa, oslovenia, tykania/vykania vo verejnom a v súkromnom komunikačnom prostredí.",
sk1-o-002,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné zvyklosti,,Formulovanie ústneho poďakovania a ospravedlnenia.,
sk1-o-003,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné zámery a ich vyjadrenie,,Formulovanie zisťovacích a doplňovacích otázok.,
sk1-o-004,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné zámery a ich vyjadrenie,,"Formulovanie prosby, priania, nesúhlasu a námietky, porovnávanie rôznych spôsobov ich vyjadrenia.",
sk1-o-005,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné zámery a ich vyjadrenie,,Formulovanie jednoduchého zdôvodnenia javu alebo vlastného konania. 🏛️🙋‍♀️,
sk1-o-006,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné zámery a ich vyjadrenie,,Formulovanie vlastných potrieb a prežívaných pocitov primeraným spôsobom. 🧑‍🤝‍🧑❤️,
sk1-o-007,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné zámery a ich vyjadrenie,,Presnosť a pravdivosť vyjadrenia pri požiadaní o informáciu a pri poskytnutí informácie. 🧑‍🤝‍🧑❤️,
sk1-o-008,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Dialóg,,"Nácvik jednoduchého dialógu v dvojici: kladenie otázok a formulovanie odpovedí, pravidelné striedanie replík oboch komunikačných partnerov. 🧑‍🤝‍🧑❤️",
sk1-o-009,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Dialóg,,Pozorné počúvanie komunikačného partnera. 🧑‍🤝‍🧑❤️,
sk1-o-010,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Dialóg,,Priamy dialóg a telefonický dialóg.,
sk1-o-011,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Dialóg,,Nácvik dialógu v dvojiciach alebo v skupinách pri riešení úloh.,
sk1-o-012,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné prostriedky a pravidlá,,Rozširovanie slovnej zásoby prostredníctvom tém dialógu.,
sk1-o-013,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné prostriedky a pravidlá,,Používanie vhodných slovných spojení a viet pri vyjadrovaní rôznych komunikačných zámerov.,
sk1-o-014,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné prostriedky a pravidlá,,Uplatňovanie a rozlišovanie melódie viet podľa komunikačného zámeru.,
sk1-o-015,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné prostriedky a pravidlá,,Funkčné používanie pohybových prostriedkov počas dialógu.,
sk1-o-016,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné prostriedky a pravidlá,,"Uplatňovanie pravidiel spisovnej výslovnosti (kvantita, výslovnosť dvojhlások, slovný prízvuk, spodobovanie a splývavá výslovnosť).",
sk1-o-017,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,"Termíny, ktoré si má žiak osvojiť (na základe pochopenia pojmu)",,"Pozdrav, predstavenie sa, tykanie/vykanie, poďakovanie, ospravedlnenie.",
sk1-o-018,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,"Termíny, ktoré si má žiak osvojiť (na základe pochopenia pojmu)",,"Prosba, prianie, nesúhlas, námietka, požiadanie o informáciu, poskytnutie informácie, zdôvodnenie.",
sk1-o-019,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,"Termíny, ktoré si má žiak osvojiť (na základe pochopenia pojmu)",,"Rozhovor, otázka (zisťovacia a doplňovacia), odpoveď, pozorné počúvanie.",
sk1-o-020,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,"Termíny, ktoré si má žiak osvojiť (na základe pochopenia pojmu)",,"Slovo, slovné spojenie, veta.",
sk1-o-021,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,"Termíny, ktoré si má žiak osvojiť (na základe pochopenia pojmu)",,"Spisovná výslovnosť (hláska, dĺžka hlásky, dvojhláska, prízvuk, melódia).",
sk1-v-008,Slovenský jazyk a literatúra,1,Výkonový štandard,Hovorená produkcia,,,Zhromaždiť základné informácie k téme hovoreného prejavu. 📱,
sk1-v-009,Slovenský jazyk a literatúra,1,Výkonový štandard,Hovorená produkcia,,,Sformulovať jednoduchú ústnu informáciu.,
sk1-v-010,Slovenský jazyk a literatúra,1,Výkonový štandard,Hovorená produkcia,,,Vyrozprávať príbeh na základe vlastnej skúsenosti alebo zážitku.,
sk1-v-011,Slovenský jazyk a literatúra,1,Výkonový štandard,Hovorená produkcia,,,Povedať hlavné znaky pozorovaného objektu a pozorovanej činnosti.,
sk1-v-012,Slovenský jazyk a literatúra,1,Výkonový štandard,Hovorená produkcia,,,Predniesť jednoduchý príležitostný prejav.,
sk1-v-013,Slovenský jazyk a literatúra,1,Výkonový štandard,Hovorená produkcia,,,Korigovať nepresnosti alebo nejasnosti vo svojom ústnom vyjadrení.,
sk1-v-014,Slovenský jazyk a literatúra,1,Výkonový štandard,Hovorená produkcia,,,Vypočuť hovorený prejav a klásť otázky k jeho obsahu.,
sk1-v-015,Slovenský jazyk a literatúra,1,Výkonový štandard,Hovorená produkcia,,,"Uplatniť pri hovorení situačne vhodné jazykové, zvukové a pohybové prostriedky.",
