id_temp,id,predmet,cyklus,typ,komponent,tematický celok,typ štandardu,definicia,zmena,tooltip,tooltip_text
0,sk1-hc-001,Slovenský jazyk a literatúra,1,Hlavný cieľ,,,,Hlavným cieľom 1. cyklu je vytvárať základy čitateľskej a pisateľskej gramotnosti v nadväznosti na predchádzajúce skúsenosti žiaka. Zámerom je pomocou všetkých dostupných prostriedkov utvárať čitateľské a pisateľské návyky žiaka a formovať ho ako čitateľa a pisateľa.,,,
1,sk1-c-001,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Viesť jednoduchý dialóg primerane situácii a komunikačnému partnerovi.,,,
2,sk1-c-002,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,"Vyjadriť myšlienky, predstavy a emócie v hovorenom texte.",,,
3,sk1-c-003,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,"Vyjadriť myšlienky, predstavy a emócie v písanom a v obrazovo-písanom texte.",,,
4,sk1-c-005,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Počúvať a čítať primerané vecné texty.,,,
5,sk1-c-006,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Orientovať sa v nesúvislých a obrazovo-písaných textoch.,,,
6,sk1-c-007,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Počúvať a čítať primerané umelecké texty,,,
7,sk1-c-008,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Identifikovať v texte explicitné informácie a vyvodiť z textu základné implicitné informácie.,,,
8,sk1-c-009,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Sledovať vlastné porozumenie textu.,,,
9,sk1-c-011,Slovenský jazyk a literatúra,1,Cieľ vzdelávania,,,,Použiť pri porozumení a tvorení textu primerané jazykové znalosti a osvojené pravopisné pravidlá.,,,
10,sk1-v-001,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,Nadviazať kontakt s komunikačným partnerom.,,,
11,sk1-v-002,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,Poďakovať a ospravedlniť sa adresátovi v komunikačnej situácii.,,,
12,sk1-v-003,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,Sformulovať vety s rozličným komunikačným zámerom.,,,
13,sk1-v-004,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,Požiadať o informáciu a na požiadanie informáciu poskytnúť.,,,
14,sk1-v-005,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,Reagovať na repliky partnera v dialógu.,,,
15,sk1-v-006,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,Klásť vecné otázky v dialógu.,,,
16,sk1-v-007,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,"Vyjadriť svoje potreby, pocity a názory jazykovo a sociálne primeraným spôsobom.",,,
17,sk1-v-008,Slovenský jazyk a literatúra,1,Výkonový štandard,Komunikačná interakcia,,,"Uplatniť v dialógu vhodné jazykové, zvukové a pohybové prostriedky.",new,,
18,sk1-o-001,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné zvyklosti,,"rozlišovanie a správne používanie pozdravov, predstavenia sa, oslovenia, tykania/vykania vo verejnom a v súkromnom komunikačnom prostredí;",,,
19,sk1-o-002,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné zvyklosti,,formulovanie ústneho poďakovania a ospravedlnenia.,,,
20,sk1-o-003,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné zámery a ich vyjadrenie,,formulovanie zisťovacích a doplňovacích otázok;,,,
21,sk1-o-004,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné zámery a ich vyjadrenie,,"formulovanie oznámenia, prosby, priania, súhlasu, nesúhlasu a námietky, porovnávanie rôznych spôsobov ich vyjadrenia;",,,
22,sk1-o-005,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné zámery a ich vyjadrenie,,formulovanie jednoduchého zdôvodnenia javu alebo vlastného konania;,,,
23,sk1-o-006,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné zámery a ich vyjadrenie,,formulovanie vlastných potrieb a prežívaných pocitov primeraným spôsobom;,,,
24,sk1-o-007,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Komunikačné zámery a ich vyjadrenie,,presnosť a pravdivosť vyjadrenia pri požiadaní o informáciu a pri poskytnutí informácie.,,,
25,sk1-o-008,Slovenský jazyk a literatúra,1,Obsahový štandard,Komunikačná interakcia,Dialóg,,"tvorenie jednoduchého dialógu v dvojici: kladenie otázok a formulovanie odpovedí, pravidelné striedanie replík oboch komunikačných partnerov;",,,
